name,date,lsp_name,lsp_type,orbit,location,pad_name,Latitude,Longitude,location_launch_attempt_count,pad_launch_attempt_count,agency_launch_attempt_count,location_launch_attempt_count_year,pad_launch_attempt_count_year,agency_launch_attempt_count_year,image,landing,mission_type
Falcon 9 Block 5 | Starlink Group 6-26,2023-11-03,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,917,208,293,49,45,80,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230727064652.png,ASOG,Communications
Long March 7A | TJSW-10,2023-11-03,China Aerospace Science and Technology Corporation,Government,GTO,"Wenchang Space Launch Site, People's Republic of China",201,19.618452,110.955356,24,15,443,3,3,37,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20231104131208.jpeg,,Government/Top Secret
SpaceShipTwo | Galactic 05,2023-11-02,Virgin Galactic,Private,Sub,Air launch to Suborbital flight,Spaceport America,32.9902778,-106.9719162,84,12,65,7,7,7,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/spaceshiptwo_image_20210522140909.jpeg,,Tourism
Long March 6A | Tianhui 5,2023-10-31,China Aerospace Science and Technology Corporation,Government,SSO,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Complex 9A,38.8583,111.5802,124,4,442,9,2,36,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_6a_image_20221109174525.png,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 6-25,2023-10-30,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,916,207,292,48,44,79,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230727064542.png,JRTI,Communications
Falcon 9 Block 5 | Starlink Group 7-6,2023-10-29,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,733,123,291,24,23,78,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230710162441.png,OCISLY,Communications
Soyuz 2.1b | Kosmos 2570 (Lotos-S1 #8),2023-10-27,Russian Space Forces,Government,LEO,"Plesetsk Cosmodrome, Russian Federation",43/3 (43L),62.9273,40.45,1663,229,134,4,3,4,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/soyuz25202.1b_image_20231029095145.jpg,,Government/Top Secret
Long March 2F/G | Shenzhou 17,2023-10-26,China Aerospace Science and Technology Corporation,Government,LEO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-1 / 921),40.957893,100.290944,209,21,441,27,2,35,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launcher_images/long_march_2_image_20210908195835.jpeg,,Human Exploration
Long March 2D | Yaogan 39 Group 04,2023-10-23,China Aerospace Science and Technology Corporation,Government,LEO,"Xichang Satellite Launch Center, People's Republic of China",Launch Complex 3 (LC-3/LA-1),28.247209,102.02917,194,84,440,11,6,34,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20231024073725.jpg,,Government/Top Secret
Falcon 9 Block 5 | Starlink Group 6-24,2023-10-22,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,915,206,290,47,43,77,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230727063705.png,ASOG,Communications
Falcon 9 Block 5 | Starlink Group 7-5,2023-10-21,SpaceX,Commercial,LEO,"Vandenberg SFB, CA, USA",Space Launch Complex 4E,34.632,-120.611,732,122,289,23,22,76,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230710162355.png,OCISLY,Communications
Gaganyaan Abort Test Booster | TV-D1,2023-10-21,Indian Space Research Organization,Government,Sub,"Satish Dhawan Space Centre, India",Satish Dhawan Space Centre First Launch Pad,13.733,80.235,92,57,88,8,4,8,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/gaganyaan2520a_image_20231021132054.jpeg,,Test Flight
Falcon 9 Block 5 | Starlink Group 6-23,2023-10-17,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,914,205,288,46,42,75,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230522104423.png,JRTI,Communications
Long March 2D | Yunhai-1-04,2023-10-15,China Aerospace Science and Technology Corporation,Government,SSO,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Area 4 (SLS-2 / 603),40.960482,100.298059,208,108,439,26,12,33,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/long2520march_image_20231015053653.jpg,,Earth Science
Falcon 9 Block 5 | Starlink Group 6-22,2023-10-13,SpaceX,Commercial,LEO,"Cape Canaveral, FL, USA",Space Launch Complex 40,28.56194122,-80.57735736,913,204,287,45,41,74,https://spacelaunchnow-prod-east.nyc3.digitaloceanspaces.com/media/launch_images/falcon2520925_image_20230522092919.png,ASOG,Communications
